"Message ID";"Date";"Author";"Subject";"Type";"Category";"Start";"Stop";"Run no";"ConfigID";"Device";"Data Quality";"RegName";"RegVal";"Text"
544;Sun  10 Jul 2022 16:22:51 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/10 16:24 CET";"2022/07/10 18:22 CET";"558";"53";"W14R12";;;;"Low row settings, 50 degree run with large collimator, more distance in telescope 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_162404_eudaq_scan.h5 
mpx2_run558_220710162417.raw"
543;Sun  10 Jul 2022 14:14:14 +0000;"Marike Schwickardi";"Config change";"ConfigID";;;;;"53";;;;;"Config ID:53
Beam Energy:5MeV
Collimator:12*18
Telescope Config File: geoid53.geo

Geometry:
plane z
===============
MIM26 0 =0
MIM26 1 =8
MIM26 2 =16
TJMP2 3 =25.45
MIM26 4 =29,4
MIM26 5 =36,4
FEI4 6 =-
MIM26 7 =44.4

TJ Monopix2:
x =52.9
y =210
phi = -44
type = Cz
thickness = 300um"
542;Sun  10 Jul 2022 14:04:52 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/10 15:44 CET";"2022/07/10 16:04 CET";"557";"52";"W14R12";;;;"Low row settings, 40 degree run with large collimator, more distance in telescope 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_154436_eudaq_scan.h5 
mpx2_run557_220710154448.raw"
541;Sun  10 Jul 2022 14:00:22 +0000;"Benjamin Schwenker";"Angular scan analysis W5R18";"Analysis";"generic analysis";"454";"464";;;"W5R18";;;;"
Using runs: 
run454 10deg
run455 20deg
run460 30deg 
run461 40deg
run464 50deg

the rotation is around the vertical direction (rotation table photo). long cluster along chip columns or local u axis."
540;Sun  10 Jul 2022 13:45:25 +0000;"Marike Schwickardi";"Config change";"ConfigID";;"10/07/2022 15:47";;"557";"52";"W14R12";;;;"Config ID:52
Beam Energy:5MeV
Collimator:12*18
Telescope Config File: geoid52.geo

Geometry:
plane z
===============
MIM26 0 =0
MIM26 1 =8
MIM26 2 =16
TJMP2 3 =22.15
MIM26 4 =27.3
MIM26 5 =35.3
FEI4 6 =-
MIM26 7 =43.3

TJ Monopix2:
x =52.9
y =210
phi = -44
type = Cz
thickness = 300um"
538;Sun  10 Jul 2022 13:31:48 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/10 15:11 CET";"2022/07/10 15:31 CET";"556";"51";"W14R12";;;;"Low row settings, 40 degree run with large collimator 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_151137_eudaq_scan.h5 
mpx2_run556_220710151150.raw"
537;Sun  10 Jul 2022 13:08:52 +0000;"Marike Schwickardi";"Config change angular 40°";"ConfigID";;"10/07/2022 15:11";;;"51";"W14R12";;;;"Config ID: 51
Beam Energy: 5MeV
Collimator: 12*18
Telescope Config File:geoid51.geo

Geometry:
plane z
===============
MIM26 0 =0
MIM26 1 =5
MIM26 2 =10
TJMP2 3 = 16.15
MIM26 4 =21.3
MIM26 5 =26.3
FEI4 6 =-
MIM26 7 =31.3

TJ Monopix2:
x =52.9
y =210
phi = -44
type = Cz
thickness = 300um"
536;Sun  10 Jul 2022 13:02:06 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/10 14:40 CET";"2022/07/10 15:02 CET";"555";"50";"W14R12";;;;"Low row settings, 30 degree run with large collimator 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_144011_eudaq_scan.h5 
mpx2_run555_220710144022.raw"
535;Sun  10 Jul 2022 12:39:07 +0000;"Marike Schwickardi";"Config change angular 30°";"ConfigID";;;;;"50";;;;;"Config ID: 50
Beam Energy:5MeV
Collimator:12*18
Telescope Config File:geoid50.geo

Geometry:
plane z
===============
MIM26 0 =0
MIM26 1 =5cm
MIM26 2 =10cm
TJMP2 3 =15.2cm 
MIM26 4 =20.3
MIM26 5 =25.3
FEI4 6 =-
MIM26 7 =30.3

TJ Monopix2:
x =51.5
y =210
phi = -34
type = Cz
thickness = 300um"
534;Sun  10 Jul 2022 12:32:18 +0000;"Testbeam Crew";"Desy TB 2022 Run";"Run";"Beam";"2022/07/10 14:12 CET";"2022/07/10 14:32 CET";"554";"49";"W14R12";;;;"Low row settings, 20 degree run with large collimator 
eudaq_scan with W14R12 
Pixels: 0:448 --> Frontends: Normal FE, Normal FE Casc 
20220710_141215_eudaq_scan.h5 
mpx2_run554_220710141226.raw"
